ISRN_KIND_DTCD,ISRN_KIND_ITCD,ISRN_KIND_SALE_NM,PROD_DTCD,PROD_ITCD,PROD_SALE_NM,MIN(A.SALE_STAR_DATE),MAX(A.SALE_END_DATE)
1224,069,한화생명 기업복지라이프플랜보험(최초) 무배당,1224,71,한화생명 기업복지라이프플랜보험(최초) 무배당,2024.4.1 0:00,9999.12.31 0:00
1224,070,한화생명 기업복지라이프플랜보험(재가입) 무배당,1224,72,한화생명 기업복지라이프플랜보험(재가입) 무배당,2024.4.1 0:00,9999.12.31 0:00
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022.4.29 0:00,9999.12.31 0:00
1228,137,한화생명 연금저축 스마트하이드림연금보험 종신연금형,1228,137,한화생명 연금저축 스마트하이드림연금보험 종신연금형,2026.1.1 0:00,9999.12.31 0:00
1230,040,한화생명 장애인전용 곰두리보장보험 무배당,1230,40,한화생명 장애인전용 곰두리보장보험 무배당,2024.4.20 0:00,9999.12.31 0:00
1571,601,한화생명 연금보험Enterprise(적립형 종신연금플러스형 개인형)(개별) 무배당,1571,601,한화생명 연금보험Enterprise(적립형 종신연금플러스형 개인형)(개별) 무배당,2022.4.16 0:00,9999.12.31 0:00
1571,602,한화생명 연금보험Enterprise(적립형 종신연금플러스형 신부부형)(개별) 무배당,1571,602,한화생명 연금보험Enterprise(적립형 종신연금플러스형 신부부형)(개별) 무배당,2022.4.16 0:00,9999.12.31 0:00
1571,603,한화생명 연금보험Enterprise(적립형 확정기간연금플러스형 5년형)(개별) 무배당,1571,603,한화생명 연금보험Enterprise(적립형 확정기간연금플러스형 5년형)(개별) 무배당,2022.4.16 0:00,9999.12.31 0:00
1571,604,한화생명 연금보험Enterprise(적립형 확정기간연금플러스형 10년형)(개별) 무배당,1571,604,한화생명 연금보험Enterprise(적립형 확정기간연금플러스형 10년형)(개별) 무배당,2022.4.16 0:00,9999.12.31 0:00
1571,605,한화생명 연금보험Enterprise(적립형 확정기간연금플러스형 15년형)(개별) 무배당,1571,605,한화생명 연금보험Enterprise(적립형 확정기간연금플러스형 15년형)(개별) 무배당,2022.4.16 0:00,9999.12.31 0:00
