ISRN_KIND_DTCD,ISRN_KIND_ITCD,ISRN_KIND_SALE_NM,PROD_DTCD,PROD_ITCD,PROD_SALE_NM,VALD_STAR_DATE,VALD_END_DATE,JOIN_INUR_CODE,MIN_AG,MAX_AG,STAR_CTDT,END_CTDT,MIN_ISRN_TERM,MAX_ISRN_TERM,ISRN_TERM_DVSN_CODE,MIN_FPIN,MAX_FPIN,FPIN_DVSN_CODE,MIN_SPIN_STRT_AG,MAX_SPIN_STRT_AG,SPIN_STRT_AG_DVSN_CODE,MIN_PAYM_TERM,MAX_PAYM_TERM,PAYM_TERM_DVSN_CODE,MINU_GNDR_CODE,AINU_GNDR_CODE,MIN_PAYM_CYCL_VAL,MAX_PAYM_CYCL_VAL,PAYM_CYCL_DVSN_CODE,CHLR_ODN1_GNDR_CODE,MINU_MIN_AG,MINU_MAX_AG,MIN_MTPM_PREM,MAX_MTPM_PREM,MNTH_PAYM_YN,GURT_TERM,MIN_DETH_INDX,MAX_DETH_INDX,BNDL_CNTC_YN,MIN_CI_INDX,MAX_CI_INDX,RNWL_YN,MIN_RISK_GRAD_CODE,MAX_RISK_GRAD_CODE,CHLR_ODN1_MIN_AG,CHLR_ODN1_MAX_AG
1224,069,한화생명 기업복지라이프플랜보험(최초) 무배당,1224,071,한화생명 기업복지라이프플랜보험(최초) 무배당,2024-04-01 00:00:00,9999-12-31 00:00:00,X,15,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,070,한화생명 기업복지라이프플랜보험(재가입) 무배당,1224,072,한화생명 기업복지라이프플랜보험(재가입) 무배당,2024-04-01 00:00:00,9999-12-31 00:00:00,X,15,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,50,,,,,,,,,55,55,X,5,5,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,48,,,,,,,,,55,55,X,7,7,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,45,,,,,,,,,55,55,X,10,10,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,40,,,,,,,,,55,55,X,15,15,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,35,,,,,,,,,55,55,X,20,20,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,45,,,,,,,,,55,55,X,55,55,X,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,51,,,,,,,,,56,56,X,5,5,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,49,,,,,,,,,56,56,X,7,7,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,46,,,,,,,,,56,56,X,10,10,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,41,,,,,,,,,56,56,X,15,15,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,36,,,,,,,,,56,56,X,20,20,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,46,,,,,,,,,56,56,X,56,56,X,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,52,,,,,,,,,57,57,X,5,5,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,50,,,,,,,,,57,57,X,7,7,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,47,,,,,,,,,57,57,X,10,10,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,42,,,,,,,,,57,57,X,15,15,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,37,,,,,,,,,57,57,X,20,20,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,47,,,,,,,,,57,57,X,57,57,X,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,53,,,,,,,,,58,58,X,5,5,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,51,,,,,,,,,58,58,X,7,7,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,48,,,,,,,,,58,58,X,10,10,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,43,,,,,,,,,58,58,X,15,15,N,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,X,0,38,,,,,,,,,58,58,X,20,20,N,,,,,,,,,,,,,,,,,,,,,,
