ISRN_KIND_DTCD,ISRN_KIND_ITCD,ISRN_KIND_SALE_NM,PROD_DTCD,PROD_ITCD,PROD_SALE_NM,ISRN_TERM_INQY_CODE,PAYM_TERM_INQY_CODE,ISRN_TERM_DVSN_CODE,ISRN_TERM,PAYM_TERM_DVSN_CODE,PAYM_TERM,MINU_MIN_AG,MINU_MAX_AG,MIN_FPIN,MAX_FPIN,FPIN_DVSN_CODE,MINU_GNDR_CODE,STAR_CTDT,END_CTDT,MIN_SPIN_STRT_AG,MAX_SPIN_STRT_AG,SPIN_STRT_AG_DVSN_CODE,AINU_MIN_AG,AINU_MAX_AG,MIN_MTPM_PREM,MAX_MTPM_PREM,CHLR_ODN1_MIN_AG,CHLR_ODN1_MAX_AG,MNTH_PAYM_YN,AINU_GNDR_CODE,MIN_PAYM_CYCL_VAL,MAX_PAYM_CYCL_VAL,PAYM_CYCL_DVSN_CODE,CHLR_ODN1_GNDR_CODE,MIN_POLR_AG,MAX_POLR_AG,CRTN_GURT_OTPY_TERM,CHLR_ODN2_MIN_AG,CHLR_ODN2_MAX_AG,MIN_DPND_AG,MAX_DPND_AG,PURT_RSTY_YN,BEFO_CNTC_MIN_ISRN_TERM,BEFO_CNTC_MAX_ISRN_TERM,BEFO_CNTC_ISRN_TERM_DVSN_CODE
1224,69,한화생명 기업복지라이프플랜보험(최초) 무배당,1224,71,한화생명 기업복지라이프플랜보험(최초) 무배당,N1,N1,N,1,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,70,한화생명 기업복지라이프플랜보험(재가입) 무배당,1224,72,한화생명 기업복지라이프플랜보험(재가입) 무배당,N1,N1,N,1,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,N5,A,999,N,5,,,,,,,,,55,80,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,N7,A,999,N,7,,,,,,,,,55,80,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,N10,A,999,N,10,,,,,,,,,55,80,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,N15,A,999,N,15,,,,,,,,,55,80,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,N20,A,999,N,20,,,,,,,,,55,80,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X55,A,999,X,55,,,,,,,,,55,55,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X56,A,999,X,56,,,,,,,,,56,56,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X57,A,999,X,57,,,,,,,,,57,57,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X58,A,999,X,58,,,,,,,,,58,58,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X59,A,999,X,59,,,,,,,,,59,59,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X60,A,999,X,60,,,,,,,,,60,60,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X61,A,999,X,61,,,,,,,,,61,61,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X62,A,999,X,62,,,,,,,,,62,62,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X63,A,999,X,63,,,,,,,,,63,63,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X64,A,999,X,64,,,,,,,,,64,64,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X65,A,999,X,65,,,,,,,,,65,65,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X66,A,999,X,66,,,,,,,,,66,66,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X67,A,999,X,67,,,,,,,,,67,67,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X68,A,999,X,68,,,,,,,,,68,68,X,,,,,,,,,,,,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,A999,X69,A,999,X,69,,,,,,,,,69,69,X,,,,,,,,,,,,,,,,,,,,,,,
